==================================================
  KENXPROXY Async Validator v4.0
  HTTP: 500 concurrent | SOCKS: 200 concurrent
  Timeout: 4s
==================================================

[*] Loaded: HTTP=133143, SOCKS4=97216, SOCKS5=112526
[*] Total: 342885

[*] Phase 1: HTTP validation...
  [SOCKS5] 37000/112526 checked, 132 valid
  [SOCKS5] 38000/112526 checked, 138 valid
  [SOCKS5] 39000/112526 checked, 140 valid
  [SOCKS5] 40000/112526 checked, 141 valid
  [SOCKS5] 41000/112526 checked, 145 valid
  [SOCKS5] 42000/112526 checked, 150 valid
  [SOCKS5] 43000/112526 checked, 156 valid
  [SOCKS5] 44000/112526 checked, 161 valid
  [SOCKS5] 45000/112526 checked, 165 valid
  [SOCKS5] 46000/112526 checked, 169 valid
  [SOCKS5] 47000/112526 checked, 174 valid
  [SOCKS5] 48000/112526 checked, 180 valid
  [SOCKS5] 49000/112526 checked, 185 valid
  [SOCKS5] 50000/112526 checked, 190 valid
  [SOCKS5] 51000/112526 checked, 192 valid
  [SOCKS5] 52000/112526 checked, 195 valid
  [SOCKS5] 53000/112526 checked, 199 valid
  [SOCKS5] 54000/112526 checked, 203 valid
  [SOCKS5] 55000/112526 checked, 207 valid
  [SOCKS5] 56000/112526 checked, 210 valid
  [SOCKS5] 57000/112526 checked, 216 valid
  [SOCKS5] 58000/112526 checked, 222 valid
  [SOCKS5] 59000/112526 checked, 224 valid
  [SOCKS5] 60000/112526 checked, 226 valid
  [SOCKS5] 61000/112526 checked, 234 valid
  [SOCKS5] 62000/112526 checked, 240 valid
  [SOCKS5] 63000/112526 checked, 244 valid
  [SOCKS5] 64000/112526 checked, 249 valid
  [SOCKS5] 65000/112526 checked, 252 valid
  [SOCKS5] 66000/112526 checked, 253 valid
  [SOCKS5] 67000/112526 checked, 259 valid
  [SOCKS5] 68000/112526 checked, 260 valid
  [SOCKS5] 69000/112526 checked, 263 valid
  [SOCKS5] 70000/112526 checked, 267 valid
  [SOCKS5] 71000/112526 checked, 273 valid
  [SOCKS5] 72000/112526 checked, 278 valid
  [SOCKS5] 73000/112526 checked, 282 valid
  [SOCKS5] 74000/112526 checked, 285 valid
  [SOCKS5] 75000/112526 checked, 289 valid
  [SOCKS5] 76000/112526 checked, 296 valid
  [SOCKS5] 77000/112526 checked, 299 valid
  [SOCKS5] 78000/112526 checked, 302 valid
  [SOCKS5] 79000/112526 checked, 304 valid
  [SOCKS5] 80000/112526 checked, 307 valid
  [SOCKS5] 81000/112526 checked, 311 valid
  [SOCKS5] 82000/112526 checked, 313 valid
  [SOCKS5] 83000/112526 checked, 321 valid
  [SOCKS5] 84000/112526 checked, 326 valid
  [SOCKS5] 85000/112526 checked, 334 valid
  [SOCKS5] 86000/112526 checked, 339 valid
  [SOCKS5] 87000/112526 checked, 340 valid
  [SOCKS5] 88000/112526 checked, 346 valid
  [SOCKS5] 89000/112526 checked, 351 valid
  [SOCKS5] 90000/112526 checked, 355 valid
  [SOCKS5] 91000/112526 checked, 357 valid
  [SOCKS5] 92000/112526 checked, 359 valid
  [SOCKS5] 93000/112526 checked, 362 valid
  [SOCKS5] 94000/112526 checked, 366 valid
  [SOCKS5] 95000/112526 checked, 369 valid
  [SOCKS5] 96000/112526 checked, 372 valid
  [SOCKS5] 97000/112526 checked, 374 valid
  [SOCKS5] 98000/112526 checked, 380 valid
  [SOCKS5] 99000/112526 checked, 383 valid
  [SOCKS5] 100000/112526 checked, 389 valid
  [SOCKS5] 101000/112526 checked, 396 valid
  [SOCKS5] 102000/112526 checked, 402 valid
  [SOCKS5] 103000/112526 checked, 406 valid
  [SOCKS5] 104000/112526 checked, 407 valid
  [SOCKS5] 105000/112526 checked, 411 valid
  [SOCKS5] 106000/112526 checked, 413 valid
  [SOCKS5] 107000/112526 checked, 419 valid
  [SOCKS5] 108000/112526 checked, 424 valid
  [SOCKS5] 109000/112526 checked, 427 valid
  [SOCKS5] 110000/112526 checked, 430 valid
  [SOCKS5] 111000/112526 checked, 431 valid
  [SOCKS5] 112000/112526 checked, 432 valid

==================================================
  VERIFICATION COMPLETE
==================================================
  HTTP:    747
  SOCKS4:  245
  SOCKS5:  432
  TOTAL:   1241 unique verified proxies
==================================================

[+] COMBINED with first batch: 1966 total verified proxies
[+] Saved to: /home/keandra/kenxploit/tools/proxy-hunt/verified/all_verified_FINAL.txt
